Date,Close,High,Low,Open,Volume
2010-10-06,20.46,21.258,20.32,21.06,313552
2010-10-07,20.43,20.64,20.34,20.57,141020
2010-10-08,20.43,20.79,20.39,20.43,268110
2010-10-11,20.24,20.699,20.07,20.44,171194
2010-10-12,20.24,20.2829,20.03,20.2,243912
2010-10-13,20.54,20.85,20.36,20.64,320541
2010-10-14,20.75,21.0299,20.4,21.0,294620
2010-10-15,20.54,20.9,20.25,20.89,284840
2010-10-18,20.23,20.6399,20.22,20.52,162729
2010-10-19,20.05,20.4061,20.0,20.2,245127
2010-10-20,20.65,20.69,20.04,20.16,312444
2010-10-21,20.75,20.95,20.45,20.61,417999
2010-10-22,20.72,20.93,20.55,20.68,161021
2010-10-25,20.85,20.98,20.73,20.94,118614
2010-10-26,21.36,21.87,20.51,20.8,660841
2010-10-27,21.0,21.38,20.65,21.25,356500
2010-10-28,21.19,21.5,20.96,21.39,224190
2010-10-29,21.84,21.85,21.052,21.14,280682
2010-11-01,21.41,22.75,21.31,21.94,455784
2010-11-02,21.25,21.8792,21.05,21.68,322465
2010-11-03,21.77,22.5,21.16,21.28,374199
2010-11-04,24.9,25.33,22.151,22.6,1873358
2010-11-05,24.44,24.97,23.72,24.87,1010945
2010-11-08,24.98,25.0,24.03,24.5,509475
2010-11-09,24.63,25.69,24.0501,25.0,957749
2010-11-10,29.36,29.97,24.05,24.48,3061038
2010-11-11,28.035,29.1,27.33,28.6,1945094
2010-11-12,29.84,30.5,28.07,28.25,2729169
2010-11-15,30.8,32.9395,30.22,30.22,2625133
2010-11-16,29.67,31.4,28.42,31.0,1347731
2010-11-17,29.49,30.75,28.61,29.99,750341
2010-11-18,29.89,30.74,28.9201,30.67,956248
2010-11-19,30.99,31.37,29.7,30.16,1150494
2010-11-22,33.4,33.45,31.5,31.57,1529972
2010-11-23,34.57,35.68,32.1901,33.29,1578070
2010-11-24,35.47,35.97,34.334,35.27,1424959
2010-11-25,35.47,35.47,35.47,35.47,0
2010-11-26,35.32,36.0,34.75,35.6,350554
2010-11-29,34.33,35.95,33.33,35.74,1145543
2010-11-30,35.33,35.33,33.41,33.71,2222958
2010-12-01,34.35,36.42,33.45,35.87,1299175
2010-12-02,32.35,34.2975,31.2,34.01,2006967
2010-12-03,31.49,32.25,30.87,32.01,1160460
2010-12-06,30.31,31.45,29.56,31.35,1274375
2010-12-07,31.56,32.4,30.05,30.49,1311548
2010-12-08,32.37,32.49,31.52,32.48,660980
2010-12-09,32.05,32.72,31.65,32.51,405983
2010-12-10,31.52,32.92,31.1301,32.05,429381
2010-12-13,30.55,31.77,30.4,31.64,410331
2010-12-14,28.53,30.3899,27.761,30.29,1766910
2010-12-15,29.6,29.97,28.53,28.67,742900
2010-12-16,30.81,30.91,29.6501,30.0,790070
2010-12-17,31.36,31.54,30.71,31.34,813817
2010-12-20,31.7,32.19,31.26,31.64,523320
2010-12-21,32.26,32.69,31.7101,31.8,777678
2010-12-22,32.63,32.86,31.7,32.25,833256
2010-12-23,30.09,32.48,29.92,31.26,1557125
2010-12-24,30.09,30.09,30.09,30.09,0
2010-12-27,25.549,28.58,25.06,28.0,9302329
2010-12-28,26.41,26.75,25.0,25.85,4056589
2010-12-29,27.73,28.01,26.5,27.03,3319430
2010-12-30,26.5,27.9,26.38,27.7,2041067
2010-12-31,26.63,27.25,26.5,26.57,1417847
2011-01-03,26.62,26.9999,25.9,26.84,1284084
2011-01-04,26.67,26.95,26.02,26.66,1189071
2011-01-05,26.83,26.9,26.19,26.48,1446869
2011-01-06,27.88,28.0,26.81,26.83,2061217
2011-01-07,28.24,28.58,27.9,28.0,2249540
2011-01-10,28.45,28.68,28.05,28.17,1342812
2011-01-11,26.96,28.71,26.92,28.59,1711355
2011-01-12,26.96,27.399,26.52,27.01,964722
2011-01-13,26.22,26.97,26.16,26.96,723522
2011-01-14,25.75,26.58,25.61,26.15,1192121
2011-01-17,25.75,26.58,25.61,26.15,0
2011-01-18,25.64,25.64,24.75,25.48,1623839
2011-01-19,24.03,25.47,23.75,25.27,2371514
2011-01-20,22.62,24.45,22.37,24.03,2279958
2011-01-21,23.04,23.59,22.71,23.12,1216941
2011-01-24,24.49,24.81,23.23,23.53,1645189
2011-01-25,24.68,24.89,24.02,24.65,1271557
2011-01-26,24.75,24.88,24.1,24.71,1079867
2011-01-27,24.92,25.08,24.53,24.74,895655
2011-01-28,24.01,24.88,23.75,24.88,1048811
2011-01-31,24.1,24.12,23.5,24.05,830214
2011-02-01,23.91,24.73,23.54,24.31,707791
2011-02-02,23.94,24.18,23.669,23.92,569472
2011-02-03,23.63,23.9,23.15,23.82,512067
2011-02-04,23.46,23.67,23.22,23.67,543917
2011-02-07,23.07,23.26,22.88,23.26,895011
2011-02-08,24.49,25.25,23.0,23.11,3505183
2011-02-09,23.21,24.18,22.79,24.13,2636262
2011-02-10,23.215,23.64,22.81,23.26,836020
2011-02-11,23.25,23.75,22.94,23.25,636602
2011-02-14,23.08,24.14,23.05,23.15,1283404
2011-02-15,22.84,23.17,22.56,23.01,960851
2011-02-16,24.73,24.97,23.0701,23.1,4115806
2011-02-17,23.6,25.49,23.55,24.63,2619942
2011-02-18,23.18,23.49,22.96,23.33,2370770
2011-02-21,23.18,23.49,22.96,23.33,0
2011-02-22,21.87,23.0,21.78,22.88,2064540
2011-02-23,21.83,22.5,21.11,22.18,1605708
2011-02-24,22.53,22.58,21.5,21.78,1055450
2011-02-25,23.61,23.85,22.69,22.81,1347257
2011-02-28,23.89,24.1,23.5,23.74,1051106
2011-03-01,23.94,24.32,23.7,24.0,1106350
2011-03-02,24.02,24.28,23.725,23.82,663294
2011-03-03,24.36,24.79,24.06,24.27,640140
2011-03-04,24.95,24.99,23.78,24.48,1580100
2011-03-07,24.94,25.4,24.7,24.93,2033531
2011-03-08,24.66,24.96,24.0,24.88,1399851
2011-03-09,24.72,24.99,24.27,24.42,924721
2011-03-10,24.01,24.49,23.73,24.44,1017047
2011-03-11,24.07,24.25,23.53,23.85,930794
2011-03-14,23.25,24.0,23.2,23.82,1165971
2011-03-15,22.95,22.96,21.8,22.2,1318869
2011-03-16,22.82,23.25,22.69,22.86,1169676
2011-03-17,22.81,23.43,22.64,23.24,922504
2011-03-18,22.96,23.19,22.51,23.19,687823
2011-03-21,22.73,23.05,22.54,23.05,411650
2011-03-22,22.19,22.86,22.0,22.73,582813
2011-03-23,22.21,22.27,21.77,22.11,422793
2011-03-24,22.33,22.38,21.98,22.14,462160
2011-03-25,22.75,23.0,22.4,22.43,567922
2011-03-28,23.25,23.5388,22.55,22.7,1058018
2011-03-29,23.92,24.0,23.21,23.3,755591
2011-03-30,23.71,24.49,23.01,24.11,1223177
2011-03-31,27.75,28.71,26.5,26.5,11522337
2011-04-01,26.66,28.18,26.57,27.73,2865087
2011-04-04,25.83,27.0,25.23,26.83,2609227
2011-04-05,26.7,27.0,25.69,25.9,3181727
2011-04-06,26.49,27.01,25.8,27.0,1288297
2011-04-07,27.24,27.94,26.4501,26.85,2810766
2011-04-08,26.49,27.6004,26.36,27.58,1946352
2011-04-11,25.27,26.53,25.02,26.53,1372200
2011-04-12,24.65,25.21,24.3,25.08,1357401
2011-04-13,24.93,25.69,24.81,25.13,1211444
2011-04-14,25.14,25.28,24.2,24.87,983382
2011-04-15,25.58,26.18,25.41,25.65,943451
2011-04-18,25.03,25.62,24.36,25.13,1033871
2011-04-19,25.16,25.26,24.65,25.0,548693
2011-04-20,25.75,26.09,25.3,25.7,837469
2011-04-21,26.74,26.98,25.5901,25.85,1386053
2011-04-22,26.74,26.98,25.5901,25.85,0
2011-04-25,26.39,26.73,25.97,26.7,800839
2011-04-26,26.93,27.25,26.31,26.39,1372343
2011-04-27,27.08,27.36,26.63,26.93,996901
2011-04-28,27.66,27.69,26.72,27.07,1644997
2011-04-29,27.6,27.87,27.42,27.69,726340
2011-05-02,27.45,27.8,27.06,27.6,784560
2011-05-03,26.87,27.39,26.5,27.38,913965
2011-05-04,26.69,27.0,25.75,26.78,1047169
2011-05-05,26.44,27.44,26.1701,27.2,1219449
2011-05-06,27.12,27.7,26.62,26.9,981606
2011-05-09,27.91,28.0,26.85,27.0,916303
2011-05-10,28.33,28.95,27.91,28.07,1535626
2011-05-11,27.07,28.2985,26.92,28.2,962965
2011-05-12,27.67,27.74,26.65,27.07,627740
2011-05-13,27.55,28.1891,27.3,28.0,661577
2011-05-16,26.6,27.99,26.55,27.99,755622
2011-05-17,25.96,27.0,25.72,27.0,1234156
2011-05-18,26.35,26.47,25.52,26.1,729407
2011-05-19,28.2,28.44,26.6,27.03,2655367
2011-05-20,27.97,28.28,27.35,28.26,842534
2011-05-23,26.82,27.62,26.62,27.62,863548
2011-05-24,26.72,27.5,26.6,27.02,613673
2011-05-25,28.98,29.01,26.17,26.9,4693811
2011-05-26,29.48,29.76,28.1,28.91,3336891
2011-05-27,29.55,29.67,28.82,29.4,1687069
2011-05-30,29.55,29.67,28.82,29.4,0
2011-05-31,30.14,30.28,29.55,29.69,3290522
2011-06-01,28.517,30.1,28.38,30.0,1530396
2011-06-02,28.76,29.32,28.51,28.52,986294
2011-06-03,30.13,31.5,29.5,29.95,6210209
2011-06-06,28.7,30.13,28.26,30.1,2331767
2011-06-07,28.37,29.39,28.26,28.94,1222099
2011-06-08,27.12,28.6,27.02,28.44,1696936
2011-06-09,27.62,28.1,27.1,27.43,1604220
2011-06-10,27.86,28.2991,27.35,27.52,1566532
2011-06-13,28.43,28.88,27.88,28.07,1713761
2011-06-14,28.6,29.7,28.52,28.54,1573310
2011-06-15,27.32,28.45,27.07,28.44,1346579
2011-06-16,26.5,28.0,25.74,27.67,1842124
2011-06-17,26.5,27.7,26.14,26.87,1713965
2011-06-20,26.01,26.46,25.5,26.29,1537709
2011-06-21,27.53,27.73,26.0,26.24,1496563
2011-06-22,27.21,28.25,27.1,27.53,1475533
2011-06-23,27.71,27.72,26.21,27.2,1169990
2011-06-24,27.565,27.97,27.26,27.64,3608858
2011-06-27,27.46,28.28,27.31,27.73,1809367
2011-06-28,28.11,28.25,27.67,27.79,889132
2011-06-29,28.29,29.09,28.07,28.5,1461708
2011-06-30,29.13,29.33,28.4,28.5,946654
2011-07-01,29.02,29.6,28.8,29.07,854839
2011-07-04,29.02,29.6,28.8,29.07,0
2011-07-05,29.14,29.52,28.71,29.02,995989
2011-07-06,28.96,29.14,28.55,29.14,926889
2011-07-07,29.73,30.0,29.01,29.14,1327821
2011-07-08,28.81,29.89,28.59,29.89,1240580
2011-07-11,28.35,28.53,28.0,28.4,975703
2011-07-12,28.17,29.09,28.0,28.37,1045406
2011-07-13,28.64,29.03,27.9,28.43,1065942
2011-07-14,27.61,28.96,27.25,28.53,1159131
2011-07-15,27.58,27.83,27.4,27.79,708954
2011-07-18,27.23,27.45,26.63,27.34,852317
2011-07-19,27.89,28.11,27.54,27.58,1026048
2011-07-20,28.69,30.44,27.8,28.0,3048394
2011-07-21,28.7,29.16,28.1,28.91,1012006
2011-07-22,29.29,29.54,28.5509,28.7,583868
2011-07-25,28.49,29.25,28.44,29.01,673491
2011-07-26,28.0,28.77,27.97,28.31,762932
2011-07-27,27.64,28.5,27.51,28.5,958403
2011-07-28,28.17,28.55,27.54,27.6,938729
2011-07-29,28.17,28.4,27.5,27.8,948127
2011-08-01,28.77,28.98,28.21,28.67,1164822
2011-08-02,27.34,29.2,27.27,28.69,1549320
2011-08-03,27.2,27.83,26.336,27.5,1801329
2011-08-04,24.75,26.89,24.67,26.51,3065596
2011-08-05,24.24,25.38,22.83,24.99,1964376
2011-08-08,23.64,24.44,23.1,23.1,2608572
2011-08-09,25.06,25.45,23.7,24.15,1333382
2011-08-10,23.82,25.44,23.63,25.44,1564147
2011-08-11,25.3,25.75,24.0,24.04,836484
2011-08-12,26.31,27.14,25.36,25.6,1009020
2011-08-15,26.23,26.75,25.93,26.62,738572
2011-08-16,26.1,26.54,25.83,26.13,537688
2011-08-17,25.83,26.65,25.51,26.39,643772
2011-08-18,24.26,25.15,23.47,25.0,1056152
2011-08-19,22.3,24.22,22.0,23.86,1375277
2011-08-22,21.95,23.8,21.68,23.11,986181
2011-08-23,22.96,23.11,21.5,21.93,868968
2011-08-24,23.87,23.93,22.83,23.1,684238
2011-08-25,23.11,23.87,22.9,23.87,680210
2011-08-26,23.73,23.95,22.07,22.71,761756
2011-08-29,24.71,24.85,24.02,24.22,803302
2011-08-30,24.63,24.77,24.09,24.5,366659
2011-08-31,24.74,25.5,24.28,24.8,823735
2011-09-01,24.0,24.87,23.835,24.66,848085
2011-09-02,23.07,23.99,22.68,23.45,770331
2011-09-05,23.07,23.99,22.68,23.45,0
2011-09-06,22.94,23.2,22.29,22.5,809760
2011-09-07,23.84,24.0,23.28,23.39,459186
2011-09-08,23.61,24.03,23.28,23.58,505696
2011-09-09,22.97,23.57,22.55,23.37,669263
2011-09-12,22.88,23.31,22.45,22.5,566571
2011-09-13,24.08,24.1,22.75,23.01,726461
2011-09-14,24.34,24.84,23.79,24.25,830777
2011-09-15,24.82,24.93,24.33,24.58,562512
2011-09-16,25.8,25.84,24.49,24.78,1417574
2011-09-19,25.77,25.81,23.82,24.95,1157349
2011-09-20,26.01,26.6,25.67,25.98,1180351
2011-09-21,25.85,26.95,25.7,25.95,987577
2011-09-22,25.63,26.11,24.88,25.15,776002
2011-09-23,26.38,26.62,25.35,25.49,1156328
2011-09-26,25.52,26.52,24.9,26.52,934715
2011-09-27,26.19,26.99,25.57,26.0,674429
2011-09-28,24.59,26.5,24.51,26.0,723206
2011-09-29,24.12,25.82,23.55,25.72,929545
2011-09-30,24.39,24.89,23.49,24.8,1336054
2011-10-03,23.73,25.0,23.25,24.95,1023130
2011-10-04,23.66,24.32,22.93,23.29,1200214
2011-10-05,25.37,25.835,23.35,24.03,1229414
2011-10-06,26.96,27.6,25.02,25.37,1769026
2011-10-07,26.99,27.6,26.05,26.98,1311548
2011-10-10,27.88,28.18,27.0,27.31,923416
2011-10-11,27.61,27.77,27.09,27.51,576003
2011-10-12,27.8,28.0,27.2,27.25,1123364
2011-10-13,27.94,28.47,27.44,27.63,1043813
2011-10-14,28.05,28.55,27.26,28.0,1400469
2011-10-17,27.42,28.0,27.2601,27.86,754439
2011-10-18,28.34,28.4275,26.71,27.3,999690
2011-10-19,27.57,28.06,27.3,28.02,792850
2011-10-20,27.34,27.47,27.0,27.44,999647
2011-10-21,28.03,28.3,27.01,27.4,1142550
2011-10-24,28.55,28.89,27.75,27.87,940550
2011-10-25,28.25,28.86,27.8,28.23,654371
2011-10-26,27.98,28.37,27.4,28.19,510479
2011-10-27,28.76,28.95,28.11,28.34,869335
2011-10-28,29.87,30.0,28.01,28.5,1264993
2011-10-31,29.37,29.51,28.75,29.5,1133969
2011-11-01,28.88,28.92,28.0,28.39,635775
2011-11-02,28.71,29.26,28.25,29.0,875521
2011-11-03,32.46,32.49,29.53,30.0,2510603
2011-11-04,32.31,32.4,30.51,31.46,3033107
2011-11-07,31.27,32.0,30.75,31.64,1266269
2011-11-08,31.84,32.0,30.72,31.37,1167830
2011-11-09,30.88,31.49,30.3,30.87,953656
2011-11-10,31.33,31.5,30.65,30.94,747273
2011-11-11,33.64,34.5,30.57,31.9,3875123
2011-11-14,33.22,33.54,32.62,33.0,1325656
2011-11-15,33.93,34.4,32.73,32.92,890905
2011-11-16,34.94,35.0,33.4029,33.48,1833136
2011-11-17,33.68,34.9,33.19,34.5,1349265
2011-11-18,32.6,34.11,32.54,33.64,902729
2011-11-21,31.76,32.44,31.05,32.44,1031524
2011-11-22,32.07,32.79,31.05,31.76,732518
2011-11-23,31.45,32.05,31.25,31.76,451813
2011-11-24,31.45,31.45,31.45,31.45,0
2011-11-25,31.66,32.41,31.08,31.55,239595
2011-11-28,32.56,33.28,31.81,32.0,681124
2011-11-29,31.75,33.07,31.63,32.49,591054
2011-11-30,32.74,32.93,32.22,32.5,760965
2011-12-01,32.6,33.99,31.98,32.57,1030108
2011-12-02,33.3,33.69,32.4,32.83,802718
2011-12-05,34.42,35.0,33.4301,33.53,1160050
2011-12-06,34.87,34.98,34.031,34.2,951810
2011-12-07,34.19,34.89,33.8,34.63,674244
2011-12-08,30.89,31.65,29.61,30.84,3305945
2011-12-09,31.04,31.12,30.28,30.54,1239444
2011-12-12,30.41,30.62,30.02,30.44,758657
2011-12-13,29.45,30.93,28.911,30.57,994015
2011-12-14,28.53,29.68,28.0,29.5,1163840
2011-12-15,28.62,29.17,28.12,28.86,700261
2011-12-16,28.0,28.93,27.98,28.79,1029605
2011-12-19,27.75,28.5,27.37,28.09,986952
2011-12-20,27.9,28.45,27.715,28.05,844381
2011-12-21,27.57,28.07,26.03,27.91,1705807
2011-12-22,27.77,28.05,27.3,27.6,1009802
2011-12-23,27.9,28.0,27.52,28.0,591390
2011-12-26,27.9,27.9,27.9,27.9,0
2011-12-27,28.57,28.77,27.64,27.66,777403
2011-12-28,28.51,29.2395,28.04,28.99,575138
2011-12-29,28.73,29.34,28.549,28.59,488150
2011-12-30,28.56,28.98,28.25,28.49,339860
2012-01-02,28.56,28.56,28.56,28.56,0
2012-01-03,28.08,29.5,27.65,28.94,928052
2012-01-04,27.71,28.67,27.5,28.21,630036
2012-01-05,27.12,27.93,26.85,27.76,1005432
2012-01-06,26.91,27.79,26.41,27.2,986287
2012-01-09,27.25,27.49,26.12,27.0,896951
2012-01-10,27.62,27.76,27.25,27.44,671732
2012-01-11,28.23,28.38,27.3,27.62,672239
2012-01-12,28.25,28.62,27.805,28.48,729300
2012-01-13,22.79,28.5,22.64,28.4,5506439
2012-01-16,22.79,22.79,22.79,22.79,0
2012-01-17,26.6,27.34,26.41,26.66,4652386
2012-01-18,26.81,26.88,26.25,26.69,1260183
2012-01-19,26.76,27.74,26.61,27.19,1246222
2012-01-20,26.6,27.0,26.4,26.9,662289
2012-01-23,26.77,27.21,26.6,26.81,594533
2012-01-24,27.42,27.68,26.4399,26.63,857914
2012-01-25,27.97,28.01,27.05,27.27,611112
2012-01-26,28.94,29.58,28.0,28.07,1271028
2012-01-27,29.33,29.72,28.5,28.5,748361
2012-01-30,29.57,29.61,28.529,29.49,728979
2012-01-31,29.07,30.0,28.87,29.9,956713
2012-02-01,29.58,29.7,29.0,29.07,523169
2012-02-02,30.25,30.88,29.605,29.72,805610
2012-02-03,31.15,31.33,30.25,30.41,764418
2012-02-06,31.8,31.9,31.05,31.1,652161
2012-02-07,31.6,31.8,30.82,31.8,1021503
2012-02-08,31.93,32.01,31.29,31.6,623626
2012-02-09,32.58,32.9,31.43,32.0,1277968
2012-02-10,31.1,32.2695,29.84,32.26,1874139
2012-02-13,31.49,32.06,30.9,31.55,1157858
2012-02-14,33.17,33.79,31.4,31.74,1811365
2012-02-15,33.6,34.41,32.27,33.1,2764476
2012-02-16,34.18,34.51,32.54,33.5,2219636
2012-02-17,34.97,34.97,33.5,33.99,1376645
2012-02-20,34.97,34.97,34.97,34.97,0
2012-02-21,34.5,34.87,33.81,34.87,1135788
2012-02-22,34.22,34.72,32.5,34.5,1654985
2012-02-23,34.53,34.97,33.56,33.99,820345
2012-02-24,33.75,34.52,33.27,34.23,959866
2012-02-27,33.62,34.0,33.0,33.41,605953
2012-02-28,33.81,34.44,33.17,33.64,612183
2012-02-29,33.41,34.12,33.14,33.81,535684
2012-03-01,34.41,34.5,33.305,33.51,703435
2012-03-02,34.04,34.5,33.71,34.4,549971
2012-03-05,33.77,34.4,33.46,34.35,466938
2012-03-06,33.11,33.28,32.62,33.25,573749
2012-03-07,33.12,33.315,32.9105,33.12,364831
2012-03-08,33.07,33.49,33.04,33.11,633267
2012-03-09,34.74,35.31,33.2,33.2,1553423
2012-03-12,36.01,36.29,34.6,34.69,1964520
2012-03-13,36.09,36.59,35.5,36.51,1001643
2012-03-14,35.29,36.0,34.8,36.0,851464
2012-03-15,35.0,35.48,34.78,35.28,571596
2012-03-16,35.32,35.89,34.83,34.9,729236
2012-03-19,34.98,35.32,34.54,35.26,1015586
2012-03-20,34.96,35.2,34.57,34.98,567001
2012-03-21,35.15,35.3,34.6,34.94,607103
2012-03-22,34.4,35.15,34.3,34.97,522352
2012-03-23,34.08,34.63,33.15,34.26,1170567
2012-03-26,37.4,38.09,35.0414,35.59,3140891
2012-03-27,37.94,39.95,37.03,37.16,2540053
2012-03-28,37.85,38.44,37.1104,37.78,954970
2012-03-29,37.33,38.19,37.03,38.19,796335
2012-03-30,37.24,37.94,36.68,37.52,886312
2012-04-02,36.58,37.97,36.53,37.33,1028504
2012-04-03,38.01,38.4696,36.67,36.7,1104150
2012-04-04,35.0,35.49,34.69,35.27,4482816
2012-04-05,34.48,35.44,34.41,35.1,1509378
2012-04-06,34.48,34.48,34.48,34.48,0
2012-04-09,33.15,34.29,33.1,34.1,1655805
2012-04-10,32.46,33.849,32.1,33.15,1847669
2012-04-11,33.09,33.29,32.01,33.24,1105447
2012-04-12,33.44,34.48,32.92,33.77,1034154
2012-04-13,33.59,34.04,32.85,33.94,649580
2012-04-16,32.25,33.7,32.09,33.41,1099751
2012-04-17,32.24,33.07,32.04,32.43,1115538
2012-04-18,32.66,32.75,31.53,32.09,823096
2012-04-19,33.16,33.43,32.5,32.75,774878
2012-04-20,33.16,33.7299,32.94,33.14,821774
2012-04-23,31.94,32.97,31.71,32.86,890715
2012-04-24,31.82,32.2,31.0,31.82,674467
2012-04-25,32.91,32.99,32.07,32.07,712133
2012-04-26,33.49,33.52,32.91,32.96,427619
2012-04-27,33.34,33.63,32.91,33.6,590205
2012-04-30,33.13,33.36,32.58,33.27,413948
2012-05-01,33.78,34.21,33.13,33.13,658947
2012-05-02,33.94,34.39,33.39,33.5,497251
2012-05-03,32.46,34.0,32.13,33.91,842107
2012-05-04,31.83,32.46,31.4,32.32,1247486
2012-05-07,32.47,32.58,31.61,31.96,1157969
2012-05-08,30.19,32.7281,29.37,32.5,3097180
2012-05-09,30.06,30.77,29.76,30.3,1947828
2012-05-10,32.96,34.68,32.4,32.55,5556301
2012-05-11,32.25,33.44,32.16,32.49,1221205
2012-05-14,30.06,32.13,30.05,31.92,1380842
2012-05-15,29.43,30.96,29.22,30.26,1585682
2012-05-16,29.18,30.18,28.88,29.58,1257193
2012-05-17,28.57,29.79,28.24,29.3,1149043
2012-05-18,27.56,28.46,26.83,28.37,1616487
2012-05-21,28.77,29.26,27.12,27.58,1475170
2012-05-22,30.79,31.34,30.0,30.1,2366170
2012-05-23,31.02,31.05,29.5,30.56,1220349
2012-05-24,30.32,31.25,29.69,31.25,1075520
2012-05-25,29.81,30.4076,29.2,30.16,757009
2012-05-28,29.81,29.81,29.81,29.81,0
2012-05-29,31.69,31.93,30.01,30.01,1649917
2012-05-30,30.41,31.42,30.24,31.42,1307141
2012-05-31,29.5,30.29,28.75,30.07,1118701
2012-06-01,28.15,29.16,27.76,28.53,885710
2012-06-04,27.88,28.41,27.11,28.03,1030834
2012-06-05,27.91,28.39,27.56,27.84,630885
2012-06-06,29.22,29.45,28.14,28.2,910508
2012-06-07,28.93,29.87,28.85,29.81,492015
2012-06-08,30.08,30.19,28.1475,28.86,881209
2012-06-11,29.12,31.0,28.9584,30.31,635947
2012-06-12,29.66,29.84,28.81,29.23,568994
2012-06-13,29.77,30.64,29.47,29.55,844371
2012-06-14,29.39,30.65,28.62,30.18,872161
2012-06-15,29.91,29.95,28.81,29.39,646737
2012-06-18,31.84,32.33,29.5,29.94,1256796
2012-06-19,32.09,32.6594,31.5,32.02,911029
2012-06-20,33.78,34.5,33.21,33.5,3422342
2012-06-21,32.19,34.28,31.84,34.26,1891895
2012-06-22,33.785,33.98,32.46,32.6,3047452
2012-06-25,33.11,34.12,32.75,33.94,1503186
2012-06-26,31.61,32.35,31.39,32.05,2613849
2012-06-27,31.96,32.445,31.57,31.9,1047194
2012-06-28,31.41,32.11,30.62,31.9,914040
2012-06-29,31.29,32.8,31.0,32.8,1125704
2012-07-02,30.4,31.7995,30.19,31.35,1315534
2012-07-03,30.66,31.0,30.4,30.6,947128
